Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0402_1005Metric",19.090000,13.480000,0.000000,top
"C2","0.1uF","C_0402_1005Metric",17.750000,16.800000,180.000000,top
"C3","1uF","C_0402_1005Metric",24.425000,10.925000,90.000000,top
"C4","1uF","C_0402_1005Metric",19.750000,11.600000,90.000000,top
"C5","12pF","C_0402_1005Metric",19.400000,23.000000,0.000000,top
"C6","12pF","C_0402_1005Metric",19.450000,19.000000,180.000000,top
"C7","12pF","C_0402_1005Metric",15.575000,35.125000,0.000000,top
"C8","0.1uF","C_0402_1005Metric",7.300000,29.700000,0.000000,top
"C9","0.1uF","C_0402_1005Metric",13.000000,13.750000,90.000000,top
"C10","0.1uF","C_0402_1005Metric",3.050000,18.580000,90.000000,top
"C11","0.1uF","C_0402_1005Metric",14.200000,30.100000,0.000000,top
"C12","1uF","C_0402_1005Metric",29.650000,17.300000,0.000000,top
"C13","0.1uF","C_0402_1005Metric",22.600000,47.200000,180.000000,top
"C14","0.1uF","C_0402_1005Metric",18.570000,46.350000,90.000000,top
"C15","1uF","C_0402_1005Metric",19.670000,46.350000,-90.000000,top
"C16","0.1uF","C_0402_1005Metric",17.800000,26.500000,-90.000000,top
"D1","Yellow LED","LED_0805_2012Metric",8.000000,11.200000,0.000000,top
"D2","Yellow LED","LED_0805_2012Metric",8.000000,13.650000,0.000000,top
"D3","Red LED","LED_0805_2012Metric",43.300000,25.600000,-90.000000,top
"D4","Red LED","LED_0805_2012Metric",43.300000,42.800000,-90.000000,top
"D5","Red LED","LED_0805_2012Metric",1.800000,32.400000,90.000000,top
"R1","10k","R_0402_1005Metric",19.400000,23.940000,180.000000,top
"R2","5.1k","R_0402_1005Metric",22.000000,5.950000,0.000000,top
"R3","5.1k","R_0402_1005Metric",22.000000,4.975000,0.000000,top
"R4","5.1k","R_0402_1005Metric",22.000000,3.075000,180.000000,top
"R5","5.1k","R_0402_1005Metric",22.000000,4.025000,180.000000,top
"R6","10k","R_0402_1005Metric",19.470000,33.720000,0.000000,top
"R7","10k","R_0402_1005Metric",16.380000,36.250000,180.000000,top
"R8","1k","R_0402_1005Metric",12.100000,10.500000,0.000000,top
"R9","1k","R_0402_1005Metric",43.250000,27.850000,180.000000,top
"R10","1k","R_0402_1005Metric",43.290000,45.200000,0.000000,top
"R11","1k","R_0402_1005Metric",1.800000,30.200000,180.000000,top
"R12","5.1k","R_0402_1005Metric",19.460000,32.650000,180.000000,top
"R13","5.1k","R_0402_1005Metric",19.470000,31.370000,180.000000,top
"R14","5.1k","R_0402_1005Metric",19.390000,26.980000,180.000000,top
"R15","5.1k","R_0402_1005Metric",19.390000,26.010000,180.000000,top
"R16","1k","R_0402_1005Metric",12.100000,11.500000,0.000000,top
"R17","1k","R_0402_1005Metric",12.075000,13.750000,90.000000,top
"R18","10k","R_0402_1005Metric",19.400000,24.880000,180.000000,top
"RN1","47","R_Array_Convex_4x0402",2.700000,25.150000,180.000000,top
"RN2","47","R_Array_Convex_4x0402",12.000000,29.950000,90.000000,top
"SW1","SW_DIP_x02","SW_DIP_SPSTx02_Slide_Copal_CHS-02B_W7.62mm_P1.27mm",25.307520,37.622516,0.000000,top
"SW2","SW_Push","SW_Push_1P1T_NO_Vertical_Wuerth_434133025816",29.650000,20.650000,-90.000000,top
"SW3","AP_I2C_R","SW_DIP_SPSTx02_Slide_Copal_CHS-02B_W7.62mm_P1.27mm",25.300000,32.000000,0.000000,top
"SW4","I2CM_R","SW_DIP_SPSTx02_Slide_Copal_CHS-02B_W7.62mm_P1.27mm",25.300000,26.400000,0.000000,top
"SW5","Boot","SW_Push_1P1T_NO_Vertical_Wuerth_434133025816",23.125000,20.625000,90.000000,top
"U1","ICM-45686","ICM-45686",22.291682,45.033536,0.000000,top
"U2","CH32V305RBT6","LQFP-64_10x10mm_P0.5mm",10.475000,22.150000,180.000000,top
"U3","USBLC6-2SC6","SOT-23-6",15.480000,12.092500,90.000000,top
"U4","USBLC6-2SC6","SOT-23-6",28.489854,12.108270,90.000000,top
"U5","CH340X","MSOP-10_3x3mm_P0.5mm",22.100000,15.800000,180.000000,top
"U6","AP2112K-3.3","SOT-23-5",22.100000,10.925000,90.000000,top
"Y1","Crystal_GND24","Crystal_SMD_2016-4Pin_2.0x1.6mm",19.400000,21.000000,90.000000,top
"Y2","Generator 32.768 kHz","Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm",15.550000,32.650000,180.000000,top
